,Floor,SA (ft2),Price(HK$),Price/ft2(SA),Date,District
0,H,687,20000,29.11,2022-04-30,Yau Tong
1,M,517,15000,29.01,2022-04-30,Yau Tong
2,H,748,21500,28.74,2022-04-30,Yau Tong
3,H,748,20500,27.41,2022-04-30,Yau Tong
4,L,522,16500,31.61,2022-04-30,Yau Tong
5,L,522,15700,30.08,2022-04-30,Yau Tong
6,L,748,20000,26.74,2022-04-30,Yau Tong
7,H,687,21000,30.57,2022-04-30,Yau Tong
8,M,525,16600,31.62,2022-04-30,Yau Tong
9,H,816,25000,30.64,2022-04-30,Tseung Kwan O
10,L,519,16000,30.83,2022-04-30,Tseung Kwan O
11,H,724,22000,30.39,2022-04-29,Tseung Kwan O
12,H,278,12800,46.04,2022-04-29,Aberdeen
13,M,363,14000,38.57,2022-04-29,Tseung Kwan O
14,H,447,16000,35.79,2022-04-29,Tseung Kwan O
15,M,450,14000,31.11,2022-04-29,Tseung Kwan O
16,L,431,12800,29.7,2022-04-27,Tseung Kwan O
18,H,739,18000,24.36,2022-04-26,Tseung Kwan O
19,L,650,23800,36.62,2022-04-26,Tseung Kwan O
20,M,773,40000,51.75,2022-04-26,Tseung Kwan O
21,L,448,15000,33.48,2022-04-25,Aberdeen
22,H,407,13500,33.17,2022-04-25,Aberdeen
23,H,415,15300,36.87,2022-04-25,Aberdeen
24,L,522,15300,29.31,2022-04-24,Yau Tong
25,H,506,13500,26.68,2022-04-24,Tseung Kwan O
26,H,441,14500,32.88,2022-04-24,Tseung Kwan O
27,H,441,15500,35.15,2022-04-24,Tseung Kwan O
28,L,506,13000,25.69,2022-04-24,Tseung Kwan O
29,H,420,13800,32.86,2022-04-24,Tseung Kwan O
30,H,363,14000,38.57,2022-04-24,Tseung Kwan O
31,H,438,14500,33.11,2022-04-24,Aberdeen
33,H,427,16500,38.64,2022-04-23,Aberdeen
34,L,265,13500,50.94,2022-04-23,Aberdeen
35,H,721,25500,35.37,2022-04-23,Aberdeen
36,L,517,15500,29.98,2022-04-22,Yau Tong
37,L,773,26500,34.28,2022-04-22,Tseung Kwan O
38,H,425,12800,30.12,2022-04-22,Tseung Kwan O
39,L,419,12500,29.83,2022-04-22,Aberdeen
40,L,448,14000,31.25,2022-04-21,Aberdeen
41,M,401,12500,31.17,2022-04-21,Tseung Kwan O
42,H,426,13000,30.52,2022-04-19,Tseung Kwan O
43,H,401,12000,29.93,2022-04-18,Tseung Kwan O
44,H,465,16800,36.13,2022-04-18,Tseung Kwan O
45,L,368,16000,43.48,2022-04-18,Tseung Kwan O
46,L,687,17000,24.75,2022-04-17,Yau Tong
47,H,905,30500,33.7,2022-04-17,Tseung Kwan O
48,H,644,22500,34.94,2022-04-17,Tseung Kwan O
49,M,484,14200,29.34,2022-04-17,Tseung Kwan O
50,L,526,17200,32.7,2022-04-16,Tseung Kwan O
51,H,426,12000,28.17,2022-04-16,Tseung Kwan O
52,H,554,13500,24.37,2022-04-15,Tseung Kwan O
53,H,463,16000,34.56,2022-04-15,Tseung Kwan O
54,H,626,18000,28.75,2022-04-15,Tseung Kwan O
55,H,269,11200,41.64,2022-04-15,Aberdeen
56,H,401,13000,32.42,2022-04-14,Wong Chuk Hang
57,H,485,14000,28.87,2022-04-09,Tseung Kwan O
58,H,363,13000,35.81,2022-04-09,Tseung Kwan O
59,H,485,14300,29.48,2022-04-09,Tseung Kwan O
60,H,211,9200,43.6,2022-04-09,Tseung Kwan O
61,H,611,16800,27.5,2022-04-09,Tseung Kwan O
62,M,517,17700,34.24,2022-04-07,Yau Tong
63,L,687,22000,32.02,2022-04-07,Yau Tong
64,L,496,19200,38.71,2022-04-07,Tseung Kwan O
65,M,538,16500,30.67,2022-04-07,Tseung Kwan O
66,M,470,15500,32.98,2022-04-07,Tseung Kwan O
67,M,675,26500,39.26,2022-04-07,Aberdeen
68,M,348,12500,35.92,2022-04-07,Tseung Kwan O
69,H,493,15800,32.05,2022-04-06,Aberdeen
70,H,377,13800,36.6,2022-04-06,Tseung Kwan O
71,M,354,12500,35.31,2022-04-06,Tseung Kwan O
72,H,360,12000,33.33,2022-04-05,Tseung Kwan O
73,H,466,15800,33.91,2022-04-05,Tseung Kwan O
74,H,541,20500,37.89,2022-04-04,Tseung Kwan O
75,H,539,20000,37.11,2022-04-04,Tseung Kwan O
76,M,551,19000,34.48,2022-04-04,Tseung Kwan O
77,H,687,18500,26.93,2022-04-03,Yau Tong
78,H,348,11800,33.91,2022-04-03,Tseung Kwan O
80,L,554,14500,26.17,2022-04-02,Tseung Kwan O
81,H,406,13000,32.02,2022-04-02,Tseung Kwan O
82,H,469,13500,28.78,2022-04-02,Aberdeen
83,H,406,14500,35.71,2022-04-02,Tseung Kwan O
84,H,415,14000,33.73,2022-04-01,Aberdeen
85,H,612,19000,31.05,2022-03-31,Lam Tin
86,L,517,13800,26.69,2022-03-31,Yau Tong
87,M,537,16000,29.8,2022-03-30,Lam Tin
88,L,517,13500,26.11,2022-03-30,Yau Tong
89,H,470,15000,31.91,2022-03-30,Tseung Kwan O
90,H,364,12600,34.62,2022-03-30,Tseung Kwan O
91,H,506,14000,27.67,2022-03-30,Tseung Kwan O
92,H,406,12600,31.03,2022-03-29,Tseung Kwan O
93,M,479,15500,32.36,2022-03-29,Aberdeen
94,M,481,12800,26.61,2022-03-29,Tseung Kwan O
95,H,427,16200,37.94,2022-03-29,Aberdeen
96,L,567,20000,35.27,2022-03-28,Tseung Kwan O
97,H,300,11300,37.67,2022-03-28,Aberdeen
98,L,538,17500,32.53,2022-03-27,Tseung Kwan O
99,H,589,12000,20.37,2022-03-27,Tseung Kwan O
100,M,321,10200,31.78,2022-03-27,Aberdeen
101,H,273,10000,36.63,2022-03-27,Aberdeen
102,H,479,15500,32.36,2022-03-27,Aberdeen
103,H,433,13000,30.02,2022-03-27,Tseung Kwan O
104,H,420,14000,33.33,2022-03-26,Tseung Kwan O
105,H,556,15500,27.88,2022-03-26,Tseung Kwan O
106,L,517,16000,30.95,2022-03-25,Yau Tong
107,L,517,13800,26.69,2022-03-25,Yau Tong
108,M,347,13200,38.04,2022-03-25,Tseung Kwan O
109,H,443,13500,30.47,2022-03-25,Tseung Kwan O
110,H,384,15000,39.06,2022-03-25,Tseung Kwan O
111,M,436,15000,34.4,2022-03-24,Tseung Kwan O
112,H,470,15500,32.98,2022-03-24,Tseung Kwan O
113,H,537,17000,31.66,2022-03-23,Lam Tin
114,L,537,15000,27.93,2022-03-22,Lam Tin
115,L,522,16000,30.65,2022-03-22,Yau Tong
116,L,441,15800,35.83,2022-03-22,Tseung Kwan O
117,H,538,18300,34.01,2022-03-22,Tseung Kwan O
118,H,300,12500,41.67,2022-03-22,Aberdeen
119,L,502,15000,29.88,2022-03-22,Tseung Kwan O
120,M,517,14500,28.05,2022-03-21,Yau Tong
121,L,363,12500,34.44,2022-03-21,Tseung Kwan O
122,H,299,11000,36.79,2022-03-21,Wong Chuk Hang
123,M,748,20500,27.41,2022-03-20,Yau Tong
124,L,687,16800,24.45,2022-03-20,Yau Tong
125,M,363,12600,34.71,2022-03-20,Tseung Kwan O
126,H,269,12000,44.61,2022-03-20,Aberdeen
127,L,517,13500,26.11,2022-03-18,Yau Tong
128,L,561,18000,32.09,2022-03-18,Tseung Kwan O
129,H,432,14800,34.26,2022-03-17,Aberdeen
131,L,448,14800,33.04,2022-03-17,Aberdeen
132,L,517,14300,27.66,2022-03-16,Yau Tong
133,M,495,12000,24.24,2022-03-16,Tseung Kwan O
134,M,612,18000,29.41,2022-03-15,Lam Tin
135,H,672,18000,26.79,2022-03-15,Tseung Kwan O
136,H,236,9000,38.14,2022-03-15,Aberdeen
137,L,687,16900,24.6,2022-03-14,Yau Tong
138,H,358,12300,34.36,2022-03-14,Tseung Kwan O
139,H,601,16000,26.62,2022-03-13,Tseung Kwan O
140,L,364,13500,37.09,2022-03-13,Tseung Kwan O
141,H,447,14000,31.32,2022-03-13,Aberdeen
142,H,668,23500,35.18,2022-03-13,Tseung Kwan O
143,H,348,13500,38.79,2022-03-13,Tseung Kwan O
144,H,612,19000,31.05,2022-03-12,Lam Tin
145,H,268,12000,44.78,2022-03-11,Aberdeen
146,H,364,13000,35.71,2022-03-11,Tseung Kwan O
147,H,296,10200,34.46,2022-03-10,Aberdeen
148,L,370,12300,33.24,2022-03-09,Aberdeen
149,H,386,13600,35.23,2022-03-09,Aberdeen
150,M,420,13000,30.95,2022-03-09,Tseung Kwan O
151,M,438,13500,30.82,2022-03-09,Tseung Kwan O
153,M,349,10000,28.65,2022-03-08,Tseung Kwan O
154,H,718,23000,32.03,2022-03-06,Lam Tin
155,L,748,20000,26.74,2022-03-06,Yau Tong
156,L,522,17000,32.57,2022-03-03,Yau Tong
157,H,441,16000,36.28,2022-03-03,Tseung Kwan O
158,L,356,13500,37.92,2022-03-03,Tseung Kwan O
159,H,537,15500,28.86,2022-03-02,Lam Tin
160,H,490,13500,27.55,2022-03-02,Aberdeen
161,L,560,17000,30.36,2022-03-02,Aberdeen
162,M,517,15500,29.98,2022-03-01,Yau Tong
163,H,517,16000,30.95,2022-03-01,Yau Tong
164,H,400,11000,27.5,2022-03-01,Aberdeen
165,H,748,20000,26.74,2022-02-28,Yau Tong
166,L,522,15200,29.12,2022-02-28,Yau Tong
167,L,517,15200,29.4,2022-02-28,Yau Tong
168,M,517,15800,30.56,2022-02-28,Yau Tong
169,H,517,16500,31.91,2022-02-28,Yau Tong
170,H,517,15500,29.98,2022-02-28,Yau Tong
171,M,517,16000,30.95,2022-02-28,Yau Tong
172,M,517,15000,29.01,2022-02-28,Yau Tong
173,H,517,13000,25.15,2022-02-28,Yau Tong
174,L,687,15000,21.83,2022-02-27,Yau Tong
175,L,293,11000,37.54,2022-02-27,Aberdeen
177,H,429,17000,39.63,2022-02-25,Tseung Kwan O
178,H,453,16500,36.42,2022-02-25,Tseung Kwan O
179,L,456,16000,35.09,2022-02-25,Tseung Kwan O
180,H,336,12500,37.2,2022-02-25,Aberdeen
181,H,336,12500,37.2,2022-02-25,Aberdeen
182,H,495,11500,23.23,2022-02-24,Tseung Kwan O
184,M,363,14000,38.57,2022-02-22,Tseung Kwan O
185,H,816,25500,31.25,2022-02-22,Tseung Kwan O
186,L,517,14000,27.08,2022-02-21,Yau Tong
187,M,517,14000,27.08,2022-02-21,Yau Tong
188,H,503,13000,25.84,2022-02-20,Tseung Kwan O
189,H,443,12500,28.22,2022-02-20,Tseung Kwan O
190,L,517,15000,29.01,2022-02-20,Yau Tong
191,H,591,16000,27.07,2022-02-19,Tseung Kwan O
192,M,497,13000,26.16,2022-02-19,Tseung Kwan O
193,L,517,15000,29.01,2022-02-19,Yau Tong
194,H,421,14500,34.44,2022-02-19,Aberdeen
195,L,349,11500,32.95,2022-02-18,Tseung Kwan O
196,H,561,18300,32.62,2022-02-18,Tseung Kwan O
197,M,372,13000,34.95,2022-02-18,Tseung Kwan O
198,L,213,9200,43.19,2022-02-18,Tseung Kwan O
199,L,530,21000,39.62,2022-02-18,Tseung Kwan O
200,L,543,20000,36.83,2022-02-18,Tseung Kwan O
201,M,406,16000,39.41,2022-02-18,Tseung Kwan O
202,L,431,13500,31.32,2022-02-18,Tseung Kwan O
203,H,452,14500,32.08,2022-02-18,Tseung Kwan O
204,H,591,16000,27.07,2022-02-18,Tseung Kwan O
205,L,313,12500,39.94,2022-02-17,Aberdeen
206,H,517,15300,29.59,2022-02-16,Yau Tong
207,H,605,21000,34.71,2022-02-16,Aberdeen
208,L,517,14600,28.24,2022-02-15,Yau Tong
209,M,517,15500,29.98,2022-02-15,Yau Tong
210,H,517,15000,29.01,2022-02-15,Yau Tong
211,H,517,16000,30.95,2022-02-15,Yau Tong
212,L,495,11500,23.23,2022-02-15,Tseung Kwan O
213,L,748,20000,26.74,2022-02-14,Yau Tong
214,L,517,13500,26.11,2022-02-14,Yau Tong
215,H,517,15300,29.59,2022-02-13,Yau Tong
216,H,517,15000,29.01,2022-02-13,Yau Tong
217,M,748,20000,26.74,2022-02-13,Yau Tong
218,M,381,10000,26.25,2022-02-13,Tseung Kwan O
219,H,438,14000,31.96,2022-02-13,Aberdeen
220,H,384,13000,33.85,2022-02-13,Aberdeen
221,M,255,12800,50.2,2022-02-13,Aberdeen
222,L,517,13600,26.31,2022-02-12,Yau Tong
223,M,255,12800,50.2,2022-02-12,Aberdeen
224,H,325,11000,33.85,2022-02-11,Aberdeen
226,H,451,15000,33.26,2022-02-09,Aberdeen
227,L,517,14800,28.63,2022-02-08,Yau Tong
229,H,451,14000,31.04,2022-02-07,Aberdeen
230,L,554,11000,19.86,2022-02-07,Tseung Kwan O
231,H,364,14000,38.46,2022-02-06,Tseung Kwan O
232,H,530,16000,30.19,2022-02-06,Tseung Kwan O
233,L,517,14900,28.82,2022-02-05,Yau Tong
234,M,748,19000,25.4,2022-02-05,Yau Tong
235,H,307,16500,53.75,2022-02-05,Tseung Kwan O
236,L,364,13500,37.09,2022-02-05,Tseung Kwan O
237,L,541,18500,34.2,2022-02-05,Tseung Kwan O
238,H,470,16000,34.04,2022-02-05,Tseung Kwan O
239,M,363,14900,41.05,2022-02-04,Tseung Kwan O
240,M,748,21000,28.07,2022-01-31,Yau Tong
241,L,687,18500,26.93,2022-01-31,Yau Tong
242,L,687,19500,28.38,2022-01-31,Yau Tong
243,M,687,19600,28.53,2022-01-31,Yau Tong
244,M,517,15000,29.01,2022-01-31,Yau Tong
245,M,517,16200,31.33,2022-01-31,Yau Tong
246,M,517,17000,32.88,2022-01-31,Yau Tong
247,H,522,16500,31.61,2022-01-31,Yau Tong
248,M,522,17000,32.57,2022-01-31,Yau Tong
249,L,517,14000,27.08,2022-01-31,Yau Tong
250,H,517,14500,28.05,2022-01-31,Yau Tong
251,L,517,14000,27.08,2022-01-31,Yau Tong
252,L,656,16000,24.39,2022-01-30,Tseung Kwan O
253,H,284,12000,42.25,2022-01-30,Aberdeen
254,H,775,23500,30.32,2022-01-29,Tseung Kwan O
255,H,307,14000,45.6,2022-01-29,Tseung Kwan O
256,H,503,14500,28.83,2022-01-29,Tseung Kwan O
257,L,517,16000,30.95,2022-01-28,Yau Tong
258,H,432,15800,36.57,2022-01-27,Aberdeen
259,M,517,14000,27.08,2022-01-26,Yau Tong
260,L,672,21000,31.25,2022-01-26,Tseung Kwan O
261,M,711,22300,31.36,2022-01-26,Tseung Kwan O
262,H,371,12500,33.69,2022-01-26,Aberdeen
263,H,363,14000,38.57,2022-01-26,Tseung Kwan O
264,H,753,23500,31.21,2022-01-26,Tseung Kwan O
265,L,302,9000,29.8,2022-01-25,Wong Chuk Hang
266,L,517,12500,24.18,2022-01-24,Yau Tong
267,M,537,17000,31.66,2022-01-23,Lam Tin
268,M,748,22000,29.41,2022-01-23,Yau Tong
269,H,517,17000,32.88,2022-01-23,Tseung Kwan O
270,M,354,13500,38.14,2022-01-23,Tseung Kwan O
